country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",14-02-2025 17:00:00,26.203442,78.193251,NH3,2,2
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",14-02-2025 17:00:00,26.203442,78.193251,CO,27,110
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",14-02-2025 17:00:00,23.218135,79.957770,SO2,9,14
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",14-02-2025 17:00:00,23.50016,80.23284,NH3,2,7
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-02-2025 17:00:00,19.083694,72.920967,NH3,2,41
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-02-2025 17:00:00,19.083694,72.920967,CO,1,86
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC",14-02-2025 17:00:00,19.083694,72.920967,OZONE,5,71
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-02-2025 17:00:00,19.205800,72.868200,PM2.5,80,97
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-02-2025 17:00:00,19.205800,72.868200,NO2,1,2
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-02-2025 17:00:00,19.205800,72.868200,SO2,10,64
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB",14-02-2025 17:00:00,19.205800,72.868200,OZONE,13,16
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",14-02-2025 17:00:00,19.0632143,72.8456324,PM2.5,56,176
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",14-02-2025 17:00:00,19.0632143,72.8456324,PM10,97,193
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",14-02-2025 17:00:00,19.0632143,72.8456324,NH3,3,60
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",14-02-2025 17:00:00,19.1653323,72.922099,PM2.5,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",14-02-2025 17:00:00,19.1653323,72.922099,NO2,NA,NA
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",14-02-2025 17:00:00,19.875620,75.387310,PM2.5,35,163
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",14-02-2025 17:00:00,19.875620,75.387310,NO2,12,133
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",14-02-2025 17:00:00,19.8389439,75.244448,NH3,9,10
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",14-02-2025 17:00:00,19.8389439,75.244448,OZONE,12,127
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",14-02-2025 17:00:00,19.863756,75.321188,OZONE,15,126
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-02-2025 17:00:00,19.16485,73.23409,PM2.5,44,92
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",14-02-2025 17:00:00,19.16485,73.23409,PM10,42,133
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",14-02-2025 17:00:00,18.39963,76.57452,NO2,6,48
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",14-02-2025 17:00:00,18.39963,76.57452,SO2,7,18
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",14-02-2025 17:00:00,18.1023399,73.4783687,NO2,10,123
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",14-02-2025 17:00:00,20.555712,74.529236,PM10,6,170
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",14-02-2025 17:00:00,19.296481,72.840923,PM10,63,405
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",14-02-2025 17:00:00,19.296481,72.840923,NO2,16,82
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-02-2025 17:00:00,19.9775302,79.2337086,PM2.5,16,53
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-02-2025 17:00:00,19.9775302,79.2337086,PM10,39,99
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-02-2025 17:00:00,19.9775302,79.2337086,SO2,NA,NA
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",14-02-2025 17:00:00,19.9775302,79.2337086,CO,17,23
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",14-02-2025 17:00:00,21.001264,75.565602,SO2,2,55
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",14-02-2025 17:00:00,19.854616,75.905894,NO2,12,24
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",14-02-2025 17:00:00,19.854616,75.905894,NH3,2,5
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",14-02-2025 17:00:00,19.25292,73.142019,PM2.5,45,90
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",14-02-2025 17:00:00,19.25292,73.142019,OZONE,16,16
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",14-02-2025 17:00:00,19.192056,72.9585188,NO2,NA,NA
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",14-02-2025 17:00:00,19.192056,72.9585188,NH3,NA,NA
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",14-02-2025 17:00:00,19.192056,72.9585188,OZONE,1,83
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",14-02-2025 17:00:00,16.6870449,74.2505872,NO2,6,39
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",14-02-2025 17:00:00,16.6870449,74.2505872,NH3,8,24
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-02-2025 17:00:00,19.0243902,73.0406721,PM2.5,74,182
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-02-2025 17:00:00,19.0243902,73.0406721,PM10,115,186
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",14-02-2025 17:00:00,19.0243902,73.0406721,NO2,13,62
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",14-02-2025 17:00:00,19.309073,73.057223,PM10,57,166
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",14-02-2025 17:00:00,19.962900,79.298714,NH3,1,2
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",14-02-2025 17:00:00,19.962900,79.298714,SO2,17,29
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",14-02-2025 17:00:00,19.065931,72.862131,PM10,109,313
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",14-02-2025 17:00:00,19.23241,72.86895,PM10,108,166
